what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1288742530226
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1288742530326
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1288742530377
started,bundle,org.tigris.subversion.subclipse.ui,1.0.0,"org.tigris.subversion.subclipse.ui",1288742531528
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1288742531738
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1288742531819
error,log,,,"org.tigris.subversion.javahl.ClientException: Path is not a working copy directory\nsvn: 'C:\\Documents and Settings\\dell\\BitNami DjangoStack projects\\qr' is not a working copy\n",1288742532249
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1288742533741
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1288742533741
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1288742534392
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288742535684
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288742598084
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1288742602460
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1288742604283
started,bundle,org.python.pydev.customizations,1.6.3.2010100513,"org.python.pydev.customizations",1288742607868
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288742631492
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288742636489
error,log,,,"The SVN synchronization information for 'qr' has become corrupt or does not exist.",1288742638462
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1288742638472
error,log,,,"Exception in Decorator. The 'SVN' decorator will be disabled.",1288742638482
error,log,,,"java.lang.NullPointerException",1288742638482
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288742652602
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288742652622
opened,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288742652732
activated,perspective,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.JavaPerspective",1288742652732
opened,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1288742655847
opened,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1288742655967
opened,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1288742656167
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1288742656348
started,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1288742656428
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1288742656448
started,bundle,org.eclipse.mylyn.resources.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.resources.ui",1288742656518
started,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.3.1.v20100823-0100-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1288742656528
started,bundle,org.eclipse.mylyn.wikitext.core,1.3.1.v20100823-0100-e3x,"org.eclipse.mylyn.wikitext.core",1288742656578
started,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1288742656618
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288742656668
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288742656698
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288742674013
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288742674283
error,log,,,"The SVN synchronization information for 'qr' has become corrupt or does not exist.",1288742674293
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288742674303
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288742678429
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288742679972
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288742681123
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288742688694
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1288742694142
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288742728682
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1288742728822
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288742743243
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288744794212
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288745525023
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288745526314
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288750192424
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288750216128
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288751119407
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288751122081
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288751124544
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288751125305
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1288751127348
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1288751127378
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1288751127378
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1288751127378
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1288751127388
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1288751127388
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1288751127428
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1288751127428
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1288751127428
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1288751127428
stopped,bundle,com.python.pydev.codecompletion,1.6.3.2010100513,"com.python.pydev.codecompletion",1288751127428
stopped,bundle,com.python.pydev.refactoring,1.6.3.2010100513,"com.python.pydev.refactoring",1288751127438
stopped,bundle,com.python.pydev.analysis,1.6.3.2010100513,"com.python.pydev.analysis",1288751127438
stopped,bundle,com.python.pydev.debug,1.6.3.2010100513,"com.python.pydev.debug",1288751127438
stopped,bundle,com.python.pydev.fastparser,1.6.3.2010100513,"com.python.pydev.fastparser",1288751127438
stopped,bundle,com.python.pydev,1.6.3.2010100513,"com.python.pydev",1288751127438
stopped,bundle,org.python.pydev.django,1.6.3.2010100513,"org.python.pydev.django",1288751127438
stopped,bundle,org.python.pydev.customizations,1.6.3.2010100513,"org.python.pydev.customizations",1288751127438
stopped,bundle,org.python.pydev.debug,1.6.3.2010100513,"org.python.pydev.debug",1288751127469
stopped,bundle,org.python.pydev.red_core,1.6.3.2010100513,"org.python.pydev.red_core",1288751127479
stopped,bundle,org.python.pydev.refactoring,1.6.3.2010100513,"org.python.pydev.refactoring",1288751127479
stopped,bundle,org.python.pydev,1.6.3.2010100513,"org.python.pydev",1288751127589
stopped,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1288751127839
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1288751127839
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.303.v201004290328,"org.eclipse.wst.xsd.ui",1288751127839
stopped,bundle,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui",1288751127839
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1288751127839
stopped,bundle,org.eclipse.wst.sse.ui,1.2.2.v201008232126,"org.eclipse.wst.sse.ui",1288751127839
stopped,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1288751127949
stopped,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1288751127949
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1288751127949
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1288751127949
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1288751127949
stopped,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1288751127949
stopped,bundle,org.eclipse.mylyn.resources.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.resources.ui",1288751127949
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.3.1.v20100823-0100-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1288751127949
stopped,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1288751127949
stopped,bundle,org.eclipse.mylyn.help.ui,3.4.1.v20100823-0100-e3x,"org.eclipse.mylyn.help.ui",1288751127949
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.4.1.v20100823-0100-e3x,"org.eclipse.mylyn.tasks.bugs",1288751127949
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1288751127949
stopped,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1288751127969
stopped,bundle,org.tigris.subversion.subclipse.ui,1.0.0,"org.tigris.subversion.subclipse.ui",1288751128099
stopped,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1288751128099
stopped,bundle,org.tigris.subversion.subclipse.core,1.0.0,"org.tigris.subversion.subclipse.core",1288751128099
stopped,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1288751128099
stopped,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1288751128109
stopped,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1288751128180
stopped,bundle,org.eclipse.mylyn.wikitext.ui,1.3.0.v20100608-0100-e3x,"org.eclipse.mylyn.wikitext.ui",1288751128180
stopped,bundle,org.python.pydev.jython,1.6.3.2010100513,"org.python.pydev.jython",1288751128180
stopped,bundle,org.python.pydev.parser,1.6.3.2010100513,"org.python.pydev.parser",1288751128180
stopped,bundle,org.python.pydev.core,1.6.3.2010100513,"org.python.pydev.core",1288751128180
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1288813056776
started,bundle,org.eclipse.osgi,3.6.1.R36x_v20100806,"org.eclipse.osgi",1288813056776
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1288813056776
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1288813056776
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1288813056776
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1288813056776
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1288813056776
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1288813056776
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1288813056776
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1288813056776
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1288813056776
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1288813056776
started,bundle,org.eclipse.core.resources,3.6.0.R36x_v20100825-0600,"org.eclipse.core.resources",1288813056776
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1288813056776
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1288813056776
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1288813056776
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1288813056776
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1288813056776
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1288813056776
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.0.R201005261100,"org.eclipse.epp.usagedata.gathering",1288813056776
started,bundle,org.eclipse.epp.usagedata.recording,1.3.0.R201005261100,"org.eclipse.epp.usagedata.recording",1288813056776
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,"org.eclipse.equinox.app",1288813056776
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1288813056776
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,"org.eclipse.equinox.ds",1288813056776
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1288813056776
started,bundle,org.eclipse.equinox.p2.core,2.0.2.R36x_v20100804,"org.eclipse.equinox.p2.core",1288813056776
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.202.R36x_v20100727,"org.eclipse.equinox.p2.directorywatcher",1288813056776
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100606,"org.eclipse.equinox.p2.engine",1288813056776
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100601,"org.eclipse.equinox.p2.metadata",1288813056776
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1288813056776
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1288813056776
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.0.v20100525,"org.eclipse.equinox.p2.reconciler.dropins",1288813056776
started,bundle,org.eclipse.equinox.p2.repository,2.0.1.R36x_v20100823,"org.eclipse.equinox.p2.repository",1288813056776
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1288813056776
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1288813056776
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1288813056776
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1288813056776
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1288813056776
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1288813056776
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1288813056776
started,bundle,org.eclipse.jdt.core,3.6.1.v_A68_R36x,"org.eclipse.jdt.core",1288813056776
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1288813056776
started,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1288813056776
started,bundle,org.eclipse.jface,3.6.1.M20100825-0800,"org.eclipse.jface",1288813056776
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1288813056776
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1288813056776
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1288813056776
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1288813056776
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1288813056776
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1288813056776
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1288813056776
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1288813056776
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1288813056776
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1288813056786
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1288813056786
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1288813056786
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1288813056786
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1288813056786
started,bundle,org.tigris.subversion.subclipse.core,1.0.0,"org.tigris.subversion.subclipse.core",1288813056786
started,bundle,com.python.pydev,1.6.3.2010100513,"com.python.pydev",1288813056786
started,bundle,com.python.pydev.analysis,1.6.3.2010100513,"com.python.pydev.analysis",1288813056786
started,bundle,com.python.pydev.codecompletion,1.6.3.2010100513,"com.python.pydev.codecompletion",1288813056786
started,bundle,com.python.pydev.refactoring,1.6.3.2010100513,"com.python.pydev.refactoring",1288813056786
started,bundle,org.python.pydev,1.6.3.2010100513,"org.python.pydev",1288813056786
started,bundle,org.python.pydev.core,1.6.3.2010100513,"org.python.pydev.core",1288813056786
started,bundle,org.python.pydev.debug,1.6.3.2010100513,"org.python.pydev.debug",1288813056786
started,bundle,org.python.pydev.django,1.6.3.2010100513,"org.python.pydev.django",1288813056786
started,bundle,org.python.pydev.jython,1.6.3.2010100513,"org.python.pydev.jython",1288813056786
started,bundle,org.python.pydev.parser,1.6.3.2010100513,"org.python.pydev.parser",1288813056786
started,bundle,org.python.pydev.red_core,1.6.3.2010100513,"org.python.pydev.red_core",1288813056786
started,bundle,org.python.pydev.refactoring,1.6.3.2010100513,"org.python.pydev.refactoring",1288813056786
os,sysinfo,,,"win32",1288813056856
arch,sysinfo,,,"x86",1288813056856
ws,sysinfo,,,"win32",1288813056856
locale,sysinfo,,,"en_US",1288813056856
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1288813056886
processors,sysinfo,,,"1",1288813057136
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1288813057136
java.runtime.version,sysinfo,,,"1.6.0_19-b04",1288813057136
java.specification.name,sysinfo,,,"Java Platform API Specification",1288813057136
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1288813057136
java.specification.version,sysinfo,,,"1.6",1288813057136
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1288813057136
java.version,sysinfo,,,"1.6.0_19",1288813057136
java.vm.info,sysinfo,,,"mixed mode",1288813057136
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1288813057136
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1288813057136
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1288813057136
